house_name,sale_status,house_type,house_address,house_price
朗基香樾府,在售,住宅,新都/大丰/大丰街道先驱大道与大天路交汇处,11650
德商蜜柚,在售,底商,龙泉驿/大面/车城西四路德商蜜柚,29000
龙湖物业滨湖城,在售,住宅,简阳/石桥片区/石盘镇花红大道中段56号,8500
时光荟,在售,商业类,成华/SM广场/建设北路三段378号,13000
锦外中心,在售,商业类,武侯/高升桥/一环路南四段19号,20000
香楠国际,在售,住宅,双流/双流城区/涧槽中街188号,13500
华邑宸熙,在售,住宅,郫都/犀浦/福梓路33号,16000
金龙广场,在售,底商,青白江/青白江/华金大道3段1号金龙广场,21
朗基香颂天府二期,在售,住宅,天府新区南区/仁寿/清水镇天府大道60号,12500
金辉优步花园,在售,住宅,天府新区南区/仁寿/仁寿大道与天府大道交汇处,9700
三都汇潮里,在售,商业类,双流/警院/华府大道二段265号,13000
清河湾,在售,住宅,郫都/郫县城区/友爱镇释迦桥下街158号,17000
凤凰盛景,在售,住宅,青白江/青白江/凤祥大道1699号凤凰盛景,7500
德商蜜柚,在售,商业类,龙泉驿/大面/车城西四路和经开区南一路交汇处,9500
龙湖双珑原著,在售,别墅,新津/牧马山/花源镇青云路155号,12000
乐视界广场,在售,住宅,郫都/犀浦/郫都区犀浦镇泰山北街1号,13500
中南融创玖华台邸,在售,底商,成华/东郊记忆/建设南路50号,50000
美的新城公园天下,在售,住宅,青白江/青白江/凤凰大道一段88号,8400
龙湖梵城,在售,商业类,成华/万年场/建工路龙湖梵城,19000
佳兆业丽晶公馆,在售,商业,温江/花都大道/光华大道同兴东路,28000
汇尚城,在售,商业类,新都/新都城区/家具大道519号,6800
明宇豪雅青城,在售,商业,都江堰/都江堰/四川省成都市都江堰市玉堂镇鑫玉大道（铁军路附近）,12000
棠湖泊林城,在售,商业类,双流/华府/华府大道三段300号,11000
成都鑫苑城,在售,住宅,郫都/郫县城区/望丛中路与蜀信路交汇处,9500
领地天府兰台,在售,住宅,新津/新津/花源镇紫云路兴普大道399号,10800
朗基香颂天府,在售,住宅,天府新区南区/仁寿/视高产业园区清水镇天府大道60号,11750
金龙广场,在售,住宅,青白江/青白江/华金大道3段1号金龙广场,7200
亿城国际,在售,商业类,双流/警院/双流华剑路139号,14500
天府大学里,在售,底商,"天府新区南区/仁寿/兴隆湖南侧视高大学城（成都信息工程大学旁）, 视高镇花海大道一段10号",32500
京汉新城悦隽风华,在售,住宅,简阳/河东新区/雄州大道京汉新城.悦隽风华,105
成信悦城,在售,住宅,天府新区南区/仁寿/花海大道一段11号,13300
融信公馆,在售,住宅,金牛/石人小区/金牛区百寿路18（百寿路与大庆路交汇处）,27000
洲际健康城,在售,商业类,温江/温江大学城/科兴路西段199号,7000
中交牧山美庐,在售,住宅,新津/新津/青云路中交牧山美庐,12000
空港十六区,在售,商业类,双流/航空港/机场路近都段112号,8000
龙湖物业滨湖城,在售,底商,简阳/石桥片区/花红大道龙湖物业滨湖城,22000
龙湖天宸原著,在售,住宅,武侯/簇桥/晋阳路1488号,25000
龙湖天宸原著,在售,商业类,武侯/簇桥/晋阳路1488号,16500
龙湖天宸原著,在售,底商,武侯/簇桥/晋阳路1488号,45000
锦汇城,在售,商业类,温江/国色天乡/公平街办科锦路355号（川农大旁）,7600
圆中大溪地,在售,住宅,天府新区南区/仁寿/天府仁寿大道圆中大溪地,13000
圆中大溪地,在售,商业类,天府新区南区/仁寿/天府仁寿大道圆中大溪地,8650
中铁信托大厦,在售,写字楼,高新/金融城/名都路166号,20000
滨江天樾,在售,别墅,天府新区/华阳/益州大道与伏龙北巷交汇处,19900
优品道锦樾,在售,住宅,都江堰/都江堰/都江堰大道398号,8950
海伦天麓,在售,商业类,天府新区/麓山/万东路466号,9950
德商迎晖天玺,在售,商业,成华/东客站/成华区白龙江路与大巴山路交汇处,50000
合能铂悦华庭,在售,商业类,天府新区/麓山/沈阳路东段合能铂悦华庭,11000
榕晟水岸丽府,在售,住宅,新都/新都城区/清流镇顺河中街38号,5898
新希望锦麟府,在售,住宅,龙泉驿/大面/成都市车城西四路177号,20200
华邑宸居,在售,住宅,郫都/犀浦/校园路东段188号,17000
佳乐国际城四期,在售,底商,新都/毗河/蜀龙大道南段777号,15000
领地溪山蘭台,在售,住宅,龙泉驿/航天/华信大道998号,19928
悦彩广场,在售,商业类,温江/温江大学城/科兴路东段443号,10000
太行朗诗金沙城,在售,商业,青羊/外金沙/百仁生态区内（三环路西四段）,20000
龙光玖龙府,在售,住宅,新津/新津/花源镇东篱路100号,10356
东原阅墅,在售,住宅,温江/温江大学城/太极大道66号,8600
滨江两岸,在售,商业,郫都/犀浦/犀浦镇犀安路666号,28000
蓝润ISC,在售,写字楼,天府新区/华阳/天府大道与华府大道交汇处,30000
置富广场,在售,商业,天府新区/麓山/梓州大道置富广场,27500
置富广场,在售,底商,天府新区/麓山/梓州大道置富广场,27500
世玺,在售,商业,新都/新都城区/新繁镇滨江西路北侧,13000
棠湖华府公园,在售,商业类,双流/九龙湖/警校路二段669号,8700
上城南苑,在售,住宅,仁寿县/仁寿县/仁寿文林镇富强街126号,8520
德商御璟天骄,在售,商业类,高新/中德/观东三街158号,25000
滨江天樾,在售,底商,天府新区/华阳/益州大道与伏龙北巷交汇处,50000
蓝光芙蓉天府,在售,住宅,天府新区南区/仁寿/仁寿大道蓝光芙蓉天府,9000
郡源山外山,在售,住宅,崇州/崇州/崇州市街子镇三街路368号,13000
中国会馆,在售,住宅,金堂/金堂/金堂县会馆路6号,8000
棠湖泊林城,在售,商业,双流/华府/华府大道三段300号,18500
佳年华广场一期,在售,商业类,成华/东客站/峨眉山路369号,13500
欧郡公馆,在售,商业类,温江/温江老城/柳林路99号,8000
炎华置信花千集,在售,底商,金牛/金牛万达/一环路北二段北站西二路1号,50000
炎华置信花千集,在售,商业类,金牛/金牛万达/一环路北二段9号,18500
世玺,在售,底商,新都/新都城区/新繁镇滨江西路北侧,价格待定
龙湖上城天街广场,在售,商业类,金牛/花牌坊/人民北路一段辅路龙湖上城,18000
龙湖上城天街广场,在售,底商,金牛/花牌坊/人民北路一段辅路龙湖上城,40000
春天里,在售,住宅,新都/新都城区/食品路68号,5500
新城悦隽锦城,在售,住宅,简阳/高铁新区/凯力威大道1号,10000
彩叠园1B期,在售,商业,温江/光华大道沿线/鹏程路801号,24000
锦镇香墅,在售,别墅,双流/东升镇/藏卫路北一段156号,18000
今日田园,在售,别墅,郫都/郫县城区/郫县区友爱镇子云东路98号,14000
恒昌宫保里,在售,商业,崇州/崇州/蜀州中路恒昌宫保里,20000
未来中心,在售,底商,成华/猛追湾/一环路内侧与蜀都大道交界处,50000
中川商贸城,在售,商业,双流/蛟龙港/星空路四段355号,13500
林溪康城,在售,住宅,龙泉驿/阳光城/同安街办幸福路99号,8200
和贵南山上,在售,别墅,天府新区/海洋公园/天府大道南段2859号,14000
大溪地,在售,别墅,郫都/郫县城区/三道堰镇蜀源大道二段2599号（交大立交出城17公里处）,11000
成都文旅城,在售,住宅,都江堰/都江堰/成都市都江堰市青外江大桥与青城山大道交汇处(玉堂LG博爱中学旁),9000
恒大珺临阁,在售,商业类,高新/新会展/天府二街269号,22000
和泓麓江府,在售,商业类,天府新区/锦江生态带/正兴镇大安路1458号,27000
永兴.滨湖一号,在售,住宅,天府新区南区/仁寿/天府大道永兴.滨湖一号,9900
峨眉时光,在售,商业类,峨眉山市/峨眉山市/峨山镇温泉大道333号,10000
龙城1号,在售,住宅,仁寿县/仁寿县/仁寿县龙正镇椰江村,4800
凯丽新城,在售,住宅,东坡区/宏远百货/文忠街北延段89号,7800
